"Time (sec)","Elevation (deg)","Azimuth (deg)","Aspect Angle (deg)","Range (m)","Range Rate (m/s)"
377,18.563121,-151.84685,142.14575,1305954.64488,4487.5813728
378,18.508175,-151.91877,139.95582,1310441.75808,4486.7059872
379,18.453248,-151.99009,137.70594,1314928.2312,4485.8135328
380,18.398352,-152.0609,135.63089,1319413.60704,4484.920164
381,18.343482,-152.13115,134.39308,1323897.97704,4484.01948
382,18.288634,-152.20087,133.70581,1328381.52408,4483.0889256
383,18.233817,-152.27009,133.16356,1332863.91288,4482.1437408
384,18.179015,-152.33875,132.7333,1337345.72256,4481.1830112
385,18.124236,-152.40688,132.40108,1341826.64832,4480.2073464
386,18.069492,-152.47453,132.13698,1346306.14152,4479.2191848
387,18.014771,-152.54167,131.92374,1350784.68984,4478.2179168
388,17.960068,-152.60827,131.77056,1355262.62856,4477.2014088
389,17.90539,-152.67441,131.64044,1359739.43952,4476.1733184
390,17.850741,-152.74005,131.53531,1364215.06176,4475.133036
391,17.796116,-152.8052,131.48149,1368689.67816,4474.0805616
392,17.741521,-152.86986,131.44686,1373163.10584,4473.0149808
393,17.68694,-152.93405,131.41215,1377635.802,4471.9381224
394,17.632396,-152.9978,131.38721,1382106.97416,4470.8499864
395,17.57787,-153.06104,131.365,1386577.35384,4469.7496584
396,17.523376,-153.12385,131.36063,1391046.33144,4468.6398816
397,17.468896,-153.18617,131.38214,1395514.66896,4467.5179128
398,17.414448,-153.24807,131.40398,1399981.57392,4466.3858856
399,17.360026,-153.30952,131.42583,1404447.32064,4465.2431904
400,17.305629,-153.37052,131.45793,1408911.90912,4464.0907416
401,17.251254,-153.43109,131.50507,1413375.46128,4462.9279296
402,17.196909,-153.49121,131.55231,1417837.67232,4461.7550592
403,17.142581,-153.55091,131.59966,1422298.99944,4460.5724352
404,17.088284,-153.61018,131.64712,1426758.894,4459.3803624
404.04001,17.086113,-153.61254,131.64902,1426937.202,4459.3328136
405,17.034004,-153.66903,131.69468,1431217.93512,4458.1794504
405.04001,17.031839,-153.67137,131.69658,1431396.09072,4458.1309872
406,16.979761,-153.72749,131.74234,1435675.2084,4456.9696992
407,16.925534,-153.7855,131.79011,1440131.71968,4455.7504992
408,16.871337,-153.84314,131.83797,1444586.7984,4454.5227648
409,16.817165,-153.90037,131.88594,1449040.56648,4453.2868008
410,16.76301,-153.95717,131.93402,1453493.48112,4452.0416928
411,16.708884,-154.01361,131.9822,1457944.9632,4450.7892696
412,16.654784,-154.06965,132.03047,1462395.10416,4449.5286168
412.04001,16.652622,-154.07189,132.0324,1462572.98544,4449.47802
412.95999,16.602868,-154.12308,132.07691,1466666.14464,4448.3109408
413,16.600706,-154.1253,132.07884,1466844.02592,4448.2600392
413.04001,16.598545,-154.12752,132.08078,1467021.9072,4448.2091376
414,16.546656,-154.18056,132.12732,1471291.57608,4446.9835368
415,16.492635,-154.23548,132.17589,1475737.63272,4445.7003288
415.04001,16.490468,-154.23764,132.17784,1475915.78832,4445.648208
416,16.438627,-154.28999,132.22457,1480182.95784,4444.409196
417,16.38465,-154.34412,132.27335,1484626.66752,4443.110748
418,16.330698,-154.39792,132.32222,1489069.0056,4441.8055944
418.04001,16.328541,-154.40006,132.32418,1489246.64304,4441.7531688
419,16.276762,-154.45131,132.37121,1493510.3988,4440.4928208
420,16.222857,-154.50438,132.42028,1497950.20704,4439.1739512
421,16.168977,-154.55708,132.46945,1502388.52176,4437.848376
422,16.115118,-154.60943,132.51872,1506825.76968,4436.5164
423,16.061279,-154.6614,132.5681,1511261.76792,4435.1774136
424,16.007466,-154.71305,132.61757,1515696.36408,4433.8329408
424.07999,16.003167,-154.71717,132.62158,1516050.87696,4433.7789912
424.12,16.001014,-154.71923,132.62141,1516228.2096,4433.9664432
424.16,15.998862,-154.72129,132.60659,1516405.57272,4434.3437856
425,15.953468,-154.76429,134.31303,1520134.77024,4444.9831344
